Index Finger,Ring Pinky Finger,Gesture
238,344,flex_fist
138,256,flex_fist
158,314,flex_fist
135,287,flex_fist
163,173,flex_fist
134,165,flex_fist
368,310,flex_fist
330,265,flex_fist
263,160,flex_fist
227,303,flex_fist
328,363,flex_fist
244,295,flex_fist
219,314,flex_fist
150,136,flex_fist
259,228,flex_fist
94,157,flex_fist
274,354,flex_fist
275,310,flex_fist
201,173,flex_fist
241,108,flex_fist
340,222,flex_fist
124,162,flex_fist
374,217,flex_fist
205,205,flex_fist
146,138,flex_fist
295,137,flex_fist
217,248,flex_fist
382,313,flex_fist
194,161,flex_fist
158,122,flex_fist
148,241,flex_fist
193,76,flex_fist
264,264,flex_fist
114,141,flex_fist
137,133,flex_fist
129,186,flex_fist
318,252,flex_fist
300,205,flex_fist
155,197,flex_fist
143,103,flex_fist
194,140,flex_fist
133,132,flex_fist
112,164,flex_fist
192,238,flex_fist
193,113,flex_fist
132,318,flex_fist
330,195,flex_fist
331,323,flex_fist
183,403,flex_fist
125,199,flex_fist
136,106,flex_fist
111,125,flex_fist
250,359,flex_fist
161,179,flex_fist
335,136,flex_fist
155,263,flex_fist
241,213,flex_fist
237,86,flex_fist
245,210,flex_fist
207,331,flex_fist
112,152,flex_fist
149,86,flex_fist
200,40,flex_fist
167,110,flex_fist
183,168,flex_fist
178,93,flex_fist
349,155,flex_fist
380,141,flex_fist
269,344,flex_fist
278,150,flex_fist
175,173,flex_fist
145,363,flex_fist
291,268,flex_fist
242,309,flex_fist
243,206,flex_fist
424,236,flex_fist
293,144,flex_fist
433,233,flex_fist
280,119,flex_fist
182,134,flex_fist
165,102,flex_fist
271,110,flex_fist
256,122,flex_fist
204,149,flex_fist
182,305,flex_fist
241,194,flex_fist
397,128,flex_fist
336,172,flex_fist
218,227,flex_fist
267,218,flex_fist
198,187,flex_fist
262,208,flex_fist
244,149,flex_fist
262,158,flex_fist
263,246,flex_fist
109,174,flex_fist
107,153,flex_fist
239,279,flex_fist
250,237,flex_fist
197,126,flex_fist
318,362,flex_fist
274,267,flex_fist
189,145,flex_fist
272,191,flex_fist
195,189,flex_fist
120,132,flex_fist
218,246,flex_fist
153,232,flex_fist
108,273,flex_fist
137,89,flex_fist
115,118,flex_fist
121,111,flex_fist
142,107,flex_fist
176,98,flex_fist
