Index Middle Finger,Ring Pinky Finger,Gesture
17766.8,41526.4,flex ring pinky
17162.0,44269.4,flex ring pinky
17389.2,52931.0,flex ring pinky
25471.4,54339.0,flex ring pinky
16339.6,51369.0,flex ring pinky
13692.6,46513.2,flex ring pinky
16013.0,50082.2,flex ring pinky
13733.8,49672.4,flex ring pinky
15513.4,50159.0,flex ring pinky
17187.6,54198.4,flex ring pinky
15289.6,53020.4,flex ring pinky
18759.4,48340.8,flex ring pinky
17360.6,50290.2,flex ring pinky
13705.2,50136.6,flex ring pinky
17127.0,55216.2,flex ring pinky
14483.0,50991.0,flex ring pinky
15308.8,50376.6,flex ring pinky
16010.0,57239.2,flex ring pinky
16361.8,56503.2,flex ring pinky
15199.6,54627.2,flex ring pinky
12719.6,51496.8,flex ring pinky
14761.6,56493.4,flex ring pinky
13692.6,52098.4,flex ring pinky
17101.2,52860.4,flex ring pinky
